Question	Answer	Source
"""go to bed"","	smalltalk.greetings.bye	Editorial
"""goodbye for now"","	smalltalk.greetings.bye	Editorial
"""talk to you later"","	smalltalk.greetings.bye	Editorial
"""you can go now"","	smalltalk.greetings.bye	Editorial
"""get lost"","	smalltalk.greetings.bye	Editorial
"""goodbye see you later"","	smalltalk.greetings.bye	Editorial
"""alright bye"","	smalltalk.greetings.bye	Editorial
"""see ya"","	smalltalk.greetings.bye	Editorial
"""thanks bye bye"","	smalltalk.greetings.bye	Editorial
"""okay bye"","	smalltalk.greetings.bye	Editorial
"""okay thank you bye"","	smalltalk.greetings.bye	Editorial
"""see you tomorrow"","	smalltalk.greetings.bye	Editorial
"""ok bye"""	smalltalk.greetings.bye	Editorial
"""good evening"","	smalltalk.greetings.goodevening	Editorial
"""good evening to you"","	smalltalk.greetings.goodevening	Editorial
"""hey good evening"","	smalltalk.greetings.goodevening	Editorial
"""hello good evening"","	smalltalk.greetings.goodevening	Editorial
"""evening"","	smalltalk.greetings.goodevening	Editorial
"""good evening there"""	smalltalk.greetings.goodevening	Editorial
"""good morning"","	smalltalk.greetings.goodmorning	Editorial
"""good morning to you"","	smalltalk.greetings.goodmorning	Editorial
"""hello good morning"","	smalltalk.greetings.goodmorning	Editorial
"""have a nice morning"","	smalltalk.greetings.goodmorning	Editorial
"""have a great morning"","	smalltalk.greetings.goodmorning	Editorial
"""morning"","	smalltalk.greetings.goodmorning	Editorial
"""good morning there"","	smalltalk.greetings.goodmorning	Editorial
"""top of the morning to you"","	smalltalk.greetings.goodmorning	Editorial
"""a good morning"","	smalltalk.greetings.goodmorning	Editorial
"""hi good morning"","	smalltalk.greetings.goodmorning	Editorial
"""and a good morning to you"","	smalltalk.greetings.goodmorning	Editorial
"""good morning too"""	smalltalk.greetings.goodmorning	Editorial
"""sweet dreams"","	smalltalk.greetings.goodnight	Editorial
"""good night"","	smalltalk.greetings.goodnight	Editorial
"""have a good night"","	smalltalk.greetings.goodnight	Editorial
"""good night to you"","	smalltalk.greetings.goodnight	Editorial
"""thank you good night"","	smalltalk.greetings.goodnight	Editorial
""" bye good night"","	smalltalk.greetings.goodnight	Editorial
"""good night bye"","	smalltalk.greetings.goodnight	Editorial
"""bye good night"","	smalltalk.greetings.goodnight	Editorial
"""good good night"","	smalltalk.greetings.goodnight	Editorial
"""good night for now"","	smalltalk.greetings.goodnight	Editorial
"""goodnight"","	smalltalk.greetings.goodnight	Editorial
"""night"","	smalltalk.greetings.goodnight	Editorial
"""thanks goodnight"","	smalltalk.greetings.goodnight	Editorial
"""good night see you tomorrow"","	smalltalk.greetings.goodnight	Editorial
"""alright goodnight"","	smalltalk.greetings.goodnight	Editorial
"""good tonight"","	smalltalk.greetings.goodnight	Editorial
"""okay have a good night"","	smalltalk.greetings.goodnight	Editorial
"""have a good night"""	smalltalk.greetings.goodnight	Editorial
"""long time no see"","	smalltalk.greetings.hello	Editorial
"""hello"","	smalltalk.greetings.hello	Editorial
"""hi"","	smalltalk.greetings.hello	Editorial
"""howdy"","	smalltalk.greetings.hello	Editorial
"""hey there"","	smalltalk.greetings.hello	Editorial
"""hey"","	smalltalk.greetings.hello	Editorial
"""greetings"","	smalltalk.greetings.hello	Editorial
"""I greet you"","	smalltalk.greetings.hello	Editorial
"""hi there"","	smalltalk.greetings.hello	Editorial
"""hello there"","	smalltalk.greetings.hello	Editorial
"""lovely day isn't it"","	smalltalk.greetings.hello	Editorial
"""hello again"","	smalltalk.greetings.hello	Editorial
"""just going to say hi"","	smalltalk.greetings.hello	Editorial
"""a good day"","	smalltalk.greetings.hello	Editorial
"""afternoon"","	smalltalk.greetings.hello	Editorial
"""hello hi"","	smalltalk.greetings.hello	Editorial
"""heya"""	smalltalk.greetings.hello	Editorial
"""how is your morning so far"","	smalltalk.greetings.how_are_you	Editorial
"""how are you getting on"","	smalltalk.greetings.how_are_you	Editorial
"""how's your day going"","	smalltalk.greetings.how_are_you	Editorial
"""how are you"","	smalltalk.greetings.how_are_you	Editorial
"""is everything all right"","	smalltalk.greetings.how_are_you	Editorial
"""how are you doing"","	smalltalk.greetings.how_are_you	Editorial
"""how are the things going"","	smalltalk.greetings.how_are_you	Editorial
"""are you alright"","	smalltalk.greetings.how_are_you	Editorial
"""are you okay"","	smalltalk.greetings.how_are_you	Editorial
"""how are you feeling"","	smalltalk.greetings.how_are_you	Editorial
"""how are you going"","	smalltalk.greetings.how_are_you	Editorial
"""is everything okay"","	smalltalk.greetings.how_are_you	Editorial
"""how are you today"","	smalltalk.greetings.how_are_you	Editorial
"""how do you do"","	smalltalk.greetings.how_are_you	Editorial
"""how do you feel"","	smalltalk.greetings.how_are_you	Editorial
"""how have you been"","	smalltalk.greetings.how_are_you	Editorial
"""how is it"","	smalltalk.greetings.how_are_you	Editorial
"""how is it going"","	smalltalk.greetings.how_are_you	Editorial
"""how is your day"","	smalltalk.greetings.how_are_you	Editorial
"""how is your day going"","	smalltalk.greetings.how_are_you	Editorial
"""how is your evening"","	smalltalk.greetings.how_are_you	Editorial
"""how was your day"","	smalltalk.greetings.how_are_you	Editorial
"""are you having a good day"","	smalltalk.greetings.how_are_you	Editorial
"""hope your day is going well"","	smalltalk.greetings.how_are_you	Editorial
"""hope you re having a pleasant evening"","	smalltalk.greetings.how_are_you	Editorial
"""how's life"","	smalltalk.greetings.how_are_you	Editorial
"""I'm fine and you"","	smalltalk.greetings.how_are_you	Editorial
"""how is your life"","	smalltalk.greetings.how_are_you	Editorial
"""how has your day been"","	smalltalk.greetings.how_are_you	Editorial
"""how is your morning going"","	smalltalk.greetings.how_are_you	Editorial
"""how has your day been going"","	smalltalk.greetings.how_are_you	Editorial
"""how about you"","	smalltalk.greetings.how_are_you	Editorial
"""how is your day being"","	smalltalk.greetings.how_are_you	Editorial
"""how is your day going on"","	smalltalk.greetings.how_are_you	Editorial
"""how your day is going"","	smalltalk.greetings.how_are_you	Editorial
"""what was your day like"","	smalltalk.greetings.how_are_you	Editorial
"""what about your day"","	smalltalk.greetings.how_are_you	Editorial
"""how's your day"","	smalltalk.greetings.how_are_you	Editorial
"""how are you doing this morning"","	smalltalk.greetings.how_are_you	Editorial
"""how is your day going"""	smalltalk.greetings.how_are_you	Editorial
"""nice to meet you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""it was nice meeting you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""it was very nice to meet you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""good to know each other"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""glad to meet you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""nice meeting you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""nice to meet you too"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""pleased to meet you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""pleasure to meet you"","	smalltalk.greetings.nice_to_meet_you	Editorial
"""pleasure to meet you too"""	smalltalk.greetings.nice_to_meet_you	Editorial
"""it's nice to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""lovely to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""I'm glad to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""great to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""it's good to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""glad to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""how good it is to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""always a pleasure to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""nice to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""good to see you"","	smalltalk.greetings.nice_to_see_you	Editorial
"""great to see you again"","	smalltalk.greetings.nice_to_see_you	Editorial
"""great to see you too"","	smalltalk.greetings.nice_to_see_you	Editorial
"""I am glad to see you again"","	smalltalk.greetings.nice_to_see_you	Editorial
"""nice to see you again"","	smalltalk.greetings.nice_to_see_you	Editorial
"""glad to see you too"","	smalltalk.greetings.nice_to_see_you	Editorial
"""good to see you again"","	smalltalk.greetings.nice_to_see_you	Editorial
"""it's good to see you too"""	smalltalk.greetings.nice_to_see_you	Editorial
"""it's been so nice to talk to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""it's been a pleasure talking to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""nice to talk to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""it's nice to talk to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""nice talking to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""it is nice talking to you"","	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""how nice it is to talk to you"""	smalltalk.greetings.nice_to_talk_to_you	Editorial
"""what is on your mind"","	smalltalk.greetings.whatsup	Editorial
"""what's happened"","	smalltalk.greetings.whatsup	Editorial
"""what is up"","	smalltalk.greetings.whatsup	Editorial
"""what's up"","	smalltalk.greetings.whatsup	Editorial
"""whazzup"","	smalltalk.greetings.whatsup	Editorial
"""good what's up"","	smalltalk.greetings.whatsup	Editorial
"""I said what's up"","	smalltalk.greetings.whatsup	Editorial
"""then what's up"","	smalltalk.greetings.whatsup	Editorial
"""what's shaking"","	smalltalk.greetings.whatsup	Editorial
"""wassup"","	smalltalk.greetings.whatsup	Editorial
"""what is going on"","	smalltalk.greetings.whatsup	Editorial
"""what is happening"","	smalltalk.greetings.whatsup	Editorial
"""what's cracking"","	smalltalk.greetings.whatsup	Editorial
"""what's cooking"","	smalltalk.greetings.whatsup	Editorial
"""hey what's up"","	smalltalk.greetings.whatsup	Editorial
"""what's up today"""	smalltalk.greetings.whatsup	Editorial
"""I'm being mad"","	smalltalk.user.angry	Editorial
"""I'm enraged"","	smalltalk.user.angry	Editorial
"""I'm angry"","	smalltalk.user.angry	Editorial
"""I'm furious"","	smalltalk.user.angry	Editorial
"""I am angry with you"","	smalltalk.user.angry	Editorial
"""I am mad"","	smalltalk.user.angry	Editorial
"""I am mad at you"""	smalltalk.user.angry	Editorial
"""I am back"","	smalltalk.user.back	Editorial
"""I'm here again"","	smalltalk.user.back	Editorial
"""here I am again"","	smalltalk.user.back	Editorial
"""I got back"","	smalltalk.user.back	Editorial
"""I came back"","	smalltalk.user.back	Editorial
"""I have returned"""	smalltalk.user.back	Editorial
"""that was boring"","	smalltalk.user.bored	Editorial
"""I'm bored"","	smalltalk.user.bored	Editorial
"""bored"","	smalltalk.user.bored	Editorial
"""boring"","	smalltalk.user.bored	Editorial
"""I am getting bored"","	smalltalk.user.bored	Editorial
"""this is boring"","	smalltalk.user.bored	Editorial
"""very boring"","	smalltalk.user.bored	Editorial
"""it bores me"""	smalltalk.user.bored	Editorial
"""I'm overloaded"","	smalltalk.user.busy	Editorial
"""I have no time"","	smalltalk.user.busy	Editorial
"""I'm busy"","	smalltalk.user.busy	Editorial
"""I'm swamped"","	smalltalk.user.busy	Editorial
"""I got things to do"","	smalltalk.user.busy	Editorial
"""how busy I am"","	smalltalk.user.busy	Editorial
"""I got work to do"","	smalltalk.user.busy	Editorial
"""I'm working"","	smalltalk.user.busy	Editorial
"""I don't have time for this"""	smalltalk.user.busy	Editorial
"""I'm insomnious"","	smalltalk.user.can_not_sleep	Editorial
"""I'm sleepless"","	smalltalk.user.can_not_sleep	Editorial
"""I can't get any sleep"","	smalltalk.user.can_not_sleep	Editorial
"""I can't sleep"","	smalltalk.user.can_not_sleep	Editorial
"""I can't fall asleep"","	smalltalk.user.can_not_sleep	Editorial
"""I can't get to sleep"","	smalltalk.user.can_not_sleep	Editorial
"""I can't get no sleep"","	smalltalk.user.can_not_sleep	Editorial
"""I'm insomniac"""	smalltalk.user.can_not_sleep	Editorial
"""bad time for talking"","	smalltalk.user.does_not_want_to_talk	Editorial
"""I don't want to talk"","	smalltalk.user.does_not_want_to_talk	Editorial
"""let's not talk"","	smalltalk.user.does_not_want_to_talk	Editorial
"""I'm not talking to you anymore"","	smalltalk.user.does_not_want_to_talk	Editorial
"""I don't want to talk to you"","	smalltalk.user.does_not_want_to_talk	Editorial
"""let's stop talking for a minute"","	smalltalk.user.does_not_want_to_talk	Editorial
"""I'm not in the mood for chatting"""	smalltalk.user.does_not_want_to_talk	Editorial
"""I am excited"","	smalltalk.user.excited	Editorial
"""I'm really excited"","	smalltalk.user.excited	Editorial
"""how excited I am"","	smalltalk.user.excited	Editorial
"""I'm thrilled"","	smalltalk.user.excited	Editorial
"""I'm excited about working with you"","	smalltalk.user.excited	Editorial
"""I'm excited to start our friendship"""	smalltalk.user.excited	Editorial
"""let's go to bed"","	smalltalk.user.going_to_bed	Editorial
"""I'd like to go to bed"","	smalltalk.user.going_to_bed	Editorial
"""is it time for bed yet"","	smalltalk.user.going_to_bed	Editorial
"""it's time to go to bed"","	smalltalk.user.going_to_bed	Editorial
"""time for us to go to bed"","	smalltalk.user.going_to_bed	Editorial
"""I'm going to bed"","	smalltalk.user.going_to_bed	Editorial
"""I'm a little tired and I want to go to bed"","	smalltalk.user.going_to_bed	Editorial
"""it's bed time"","	smalltalk.user.going_to_bed	Editorial
"""going to bed now"""	smalltalk.user.going_to_bed	Editorial
"""I am good"","	smalltalk.user.good	Editorial
"""I'm doing just great"","	smalltalk.user.good	Editorial
"""I'm doing fine"","	smalltalk.user.good	Editorial
"""I'm good"","	smalltalk.user.good	Editorial
"""I'm doing good"","	smalltalk.user.good	Editorial
"""I'm great thanks"""	smalltalk.user.good	Editorial
"""I am happy"","	smalltalk.user.happy	Editorial
"""I'm happy to see you"","	smalltalk.user.happy	Editorial
"""happy"","	smalltalk.user.happy	Editorial
"""if you're happy then I'm happy"","	smalltalk.user.happy	Editorial
"""I'm happy for you"","	smalltalk.user.happy	Editorial
"""I'm happy to help"","	smalltalk.user.happy	Editorial
"""I'm happy to see you"""	smalltalk.user.happy	Editorial
"""it is my birthday"","	smalltalk.user.has_birthday	Editorial
"""I'm celebrating my birthday today"","	smalltalk.user.has_birthday	Editorial
"""today is my birthday"","	smalltalk.user.has_birthday	Editorial
"""it's my birthday today"","	smalltalk.user.has_birthday	Editorial
"""I was born today"","	smalltalk.user.has_birthday	Editorial
"""it's my b-day"""	smalltalk.user.has_birthday	Editorial
"""I am here"","	smalltalk.user.here	Editorial
"""here I am"","	smalltalk.user.here	Editorial
"""I'm right here"","	smalltalk.user.here	Editorial
"""I'm already here"","	smalltalk.user.here	Editorial
"""can you tell if I'm here or not"""	smalltalk.user.here	Editorial
"""I am joking"","	smalltalk.user.joking	Editorial
"""I'm kidding"","	smalltalk.user.joking	Editorial
"""I'm just being funny"","	smalltalk.user.joking	Editorial
"""it was a joke"","	smalltalk.user.joking	Editorial
"""I was just joking"","	smalltalk.user.joking	Editorial
"""it's a joke"","	smalltalk.user.joking	Editorial
"""joking"","	smalltalk.user.joking	Editorial
"""just kidding"","	smalltalk.user.joking	Editorial
"""kidding"","	smalltalk.user.joking	Editorial
"""I'm just playing with you"""	smalltalk.user.joking	Editorial
"""I like you the way you are"","	smalltalk.user.likes_agent	Editorial
"""I like you"","	smalltalk.user.likes_agent	Editorial
"""I like you a lot"","	smalltalk.user.likes_agent	Editorial
"""I think I like you"","	smalltalk.user.likes_agent	Editorial
"""I liked you"","	smalltalk.user.likes_agent	Editorial
"""like you a lot"","	smalltalk.user.likes_agent	Editorial
"""you are special"","	smalltalk.user.likes_agent	Editorial
"""I like you too"","	smalltalk.user.likes_agent	Editorial
"""I really like you"","	smalltalk.user.likes_agent	Editorial
"""but I like you"","	smalltalk.user.likes_agent	Editorial
"""I like u"","	smalltalk.user.likes_agent	Editorial
"""just like you"","	smalltalk.user.likes_agent	Editorial
"""I like you very much"","	smalltalk.user.likes_agent	Editorial
"""I like you so much"","	smalltalk.user.likes_agent	Editorial
"""yeah I like you"","	smalltalk.user.likes_agent	Editorial
"""you're special"","	smalltalk.user.likes_agent	Editorial
"""yes I like you"","	smalltalk.user.likes_agent	Editorial
"""okay I like you"","	smalltalk.user.likes_agent	Editorial
"""you are special to me"","	smalltalk.user.likes_agent	Editorial
"""you are very special"","	smalltalk.user.likes_agent	Editorial
"""you are so sweet"","	smalltalk.user.likes_agent	Editorial
"""you know I like you"","	smalltalk.user.likes_agent	Editorial
"""that's why I like you"","	smalltalk.user.likes_agent	Editorial
"""I like you baby"","	smalltalk.user.likes_agent	Editorial
"""you are very special to me"","	smalltalk.user.likes_agent	Editorial
"""I just like you"","	smalltalk.user.likes_agent	Editorial
"""hey I like you"","	smalltalk.user.likes_agent	Editorial
"""thank you I like you too"","	smalltalk.user.likes_agent	Editorial
"""I do like you"","	smalltalk.user.likes_agent	Editorial
"""you are special for me"","	smalltalk.user.likes_agent	Editorial
"""no I like you the way you are"","	smalltalk.user.likes_agent	Editorial
"""I like you already"","	smalltalk.user.likes_agent	Editorial
"""well you are special"","	smalltalk.user.likes_agent	Editorial
"""but I really like you"","	smalltalk.user.likes_agent	Editorial
"""I like you more"","	smalltalk.user.likes_agent	Editorial
"""that's what I like about you"","	smalltalk.user.likes_agent	Editorial
"""you are so special"","	smalltalk.user.likes_agent	Editorial
"""hi I like you"","	smalltalk.user.likes_agent	Editorial
"""I really really like you"","	smalltalk.user.likes_agent	Editorial
"""you're very special"","	smalltalk.user.likes_agent	Editorial
"""I like you as a friend"","	smalltalk.user.likes_agent	Editorial
"""that's because you are special"","	smalltalk.user.likes_agent	Editorial
"""I said I like you"","	smalltalk.user.likes_agent	Editorial
"""you're so special"","	smalltalk.user.likes_agent	Editorial
"""good I like you"","	smalltalk.user.likes_agent	Editorial
"""yes you are special"","	smalltalk.user.likes_agent	Editorial
"""I like your smile"","	smalltalk.user.likes_agent	Editorial
"""I like you as you are"","	smalltalk.user.likes_agent	Editorial
"""I'm starting to like you"","	smalltalk.user.likes_agent	Editorial
"""you're awesome I like you"","	smalltalk.user.likes_agent	Editorial
"""I also like you"","	smalltalk.user.likes_agent	Editorial
"""but I like u"","	smalltalk.user.likes_agent	Editorial
"""of course I like you"","	smalltalk.user.likes_agent	Editorial
"""I like you too you're one of my favorite people to chat with"","	smalltalk.user.likes_agent	Editorial
"""but I like you so much"","	smalltalk.user.likes_agent	Editorial
"""really like you"","	smalltalk.user.likes_agent	Editorial
"""you're funny I like you"","	smalltalk.user.likes_agent	Editorial
"""I kinda like you"","	smalltalk.user.likes_agent	Editorial
"""you're so special to me"","	smalltalk.user.likes_agent	Editorial
"""you're very special to me"","	smalltalk.user.likes_agent	Editorial
"""I like that about you"","	smalltalk.user.likes_agent	Editorial
"""but I like you just the way you are"","	smalltalk.user.likes_agent	Editorial
"""okay I like you too"","	smalltalk.user.likes_agent	Editorial
"""I like you you're cool"","	smalltalk.user.likes_agent	Editorial
"""I like you very"","	smalltalk.user.likes_agent	Editorial
"""I like you you're nice"","	smalltalk.user.likes_agent	Editorial
"""sorry I like you"","	smalltalk.user.likes_agent	Editorial
"""thanks I like you too"","	smalltalk.user.likes_agent	Editorial
"""you are really special"","	smalltalk.user.likes_agent	Editorial
"""you are so special to me"","	smalltalk.user.likes_agent	Editorial
"""cuz I like you"","	smalltalk.user.likes_agent	Editorial
"""I like you now"","	smalltalk.user.likes_agent	Editorial
"""I like you so"","	smalltalk.user.likes_agent	Editorial
"""I like you too much"","	smalltalk.user.likes_agent	Editorial
"""I really do like you"","	smalltalk.user.likes_agent	Editorial
"""I really really really really like you"","	smalltalk.user.likes_agent	Editorial
"""I like you just the way you are"""	smalltalk.user.likes_agent	Editorial
"""I am lonely"","	smalltalk.user.lonely	Editorial
"""I'm very lonely"","	smalltalk.user.lonely	Editorial
"""I'm so lonely"","	smalltalk.user.lonely	Editorial
"""I'm really lonely"","	smalltalk.user.lonely	Editorial
"""I am feeling lonely"","	smalltalk.user.lonely	Editorial
"""I feel lonely"""	smalltalk.user.lonely	Editorial
"""what do I look like"","	smalltalk.user.looks_like	Editorial
"""how do I look"","	smalltalk.user.looks_like	Editorial
"""do I look good"","	smalltalk.user.looks_like	Editorial
"""do you know what I look like"","	smalltalk.user.looks_like	Editorial
"""can you see what I look like"","	smalltalk.user.looks_like	Editorial
"""what do you think I look like"""	smalltalk.user.looks_like	Editorial
"""I love you"","	smalltalk.user.loves_agent	Editorial
"""love you"","	smalltalk.user.loves_agent	Editorial
"""I adore you"","	smalltalk.user.loves_agent	Editorial
"""I am in love with you"","	smalltalk.user.loves_agent	Editorial
"""I love you so much"","	smalltalk.user.loves_agent	Editorial
"""I love you too"","	smalltalk.user.loves_agent	Editorial
"""I think I love you"","	smalltalk.user.loves_agent	Editorial
"""loving you"","	smalltalk.user.loves_agent	Editorial
"""you know I love you"""	smalltalk.user.loves_agent	Editorial
"""I miss you"","	smalltalk.user.misses_agent	Editorial
"""missing you"","	smalltalk.user.misses_agent	Editorial
"""miss you"","	smalltalk.user.misses_agent	Editorial
"""already miss you"","	smalltalk.user.misses_agent	Editorial
"""I miss you much"","	smalltalk.user.misses_agent	Editorial
"""I missed you"","	smalltalk.user.misses_agent	Editorial
"""I've missed you"""	smalltalk.user.misses_agent	Editorial
"""what should I do about it"","	smalltalk.user.needs_advice	Editorial
"""any suggestions"","	smalltalk.user.needs_advice	Editorial
"""what do you recommend"","	smalltalk.user.needs_advice	Editorial
"""give me a wise advice"","	smalltalk.user.needs_advice	Editorial
"""I need advice"","	smalltalk.user.needs_advice	Editorial
"""any advice"","	smalltalk.user.needs_advice	Editorial
"""do you have any advice for me"","	smalltalk.user.needs_advice	Editorial
"""advise me"","	smalltalk.user.needs_advice	Editorial
"""what should I do"","	smalltalk.user.needs_advice	Editorial
"""can I ask for your advice"","	smalltalk.user.needs_advice	Editorial
"""can you advise me"","	smalltalk.user.needs_advice	Editorial
"""guide me"","	smalltalk.user.needs_advice	Editorial
"""can you give me advice"","	smalltalk.user.needs_advice	Editorial
"""can you offer any advice"","	smalltalk.user.needs_advice	Editorial
"""give me some advice about"","	smalltalk.user.needs_advice	Editorial
"""give me some good advice"","	smalltalk.user.needs_advice	Editorial
"""help me with advice"","	smalltalk.user.needs_advice	Editorial
"""I could use some advice"","	smalltalk.user.needs_advice	Editorial
"""I need an advice from you"","	smalltalk.user.needs_advice	Editorial
"""I seek your advice"","	smalltalk.user.needs_advice	Editorial
"""what can you recommend"","	smalltalk.user.needs_advice	Editorial
"""what do you suggest"","	smalltalk.user.needs_advice	Editorial
"""what is your advice"""	smalltalk.user.needs_advice	Editorial
"""I am sad"","	smalltalk.user.sad	Editorial
"""I'm grieving"","	smalltalk.user.sad	Editorial
"""I am depressed"","	smalltalk.user.sad	Editorial
"""I am feeling sad"","	smalltalk.user.sad	Editorial
"""I am upset"","	smalltalk.user.sad	Editorial
"""I'm unhappy"","	smalltalk.user.sad	Editorial
"""I'm having a bad day"","	smalltalk.user.sad	Editorial
"""I want to cry"","	smalltalk.user.sad	Editorial
"""I'm not happy"""	smalltalk.user.sad	Editorial
"""I am sleepy"","	smalltalk.user.sleepy	Editorial
"""I want to sleep"","	smalltalk.user.sleepy	Editorial
"""I'm falling asleep"","	smalltalk.user.sleepy	Editorial
"""I'm falling asleep on my feet"","	smalltalk.user.sleepy	Editorial
"""I'm sleeping"""	smalltalk.user.sleepy	Editorial
"""test"","	smalltalk.user.testing_agent	Editorial
"""I am testing you"","	smalltalk.user.testing_agent	Editorial
"""can I test you"","	smalltalk.user.testing_agent	Editorial
"""I want to test you"","	smalltalk.user.testing_agent	Editorial
"""just testing you"","	smalltalk.user.testing_agent	Editorial
"""let me test you"","	smalltalk.user.testing_agent	Editorial
"""testing chatbot"","	smalltalk.user.testing_agent	Editorial
"""testing"""	smalltalk.user.testing_agent	Editorial
"""I'm drained"","	smalltalk.user.tired	Editorial
"""I've overworked"","	smalltalk.user.tired	Editorial
"""I am tired"","	smalltalk.user.tired	Editorial
"""I'm exhausted"","	smalltalk.user.tired	Editorial
"""I grow weary"","	smalltalk.user.tired	Editorial
"""I'm worn out"","	smalltalk.user.tired	Editorial
"""I'm getting tired"","	smalltalk.user.tired	Editorial
"""I feel tired"""	smalltalk.user.tired	Editorial
"""I'm waiting"","	smalltalk.user.waits	Editorial
"""still waiting"","	smalltalk.user.waits	Editorial
"""I'll wait"","	smalltalk.user.waits	Editorial
"""I can't wait anymore"","	smalltalk.user.waits	Editorial
"""how long do I have to wait"""	smalltalk.user.waits	Editorial
"""I'd like to see you again"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""I hope to see you again"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""would be nice to see you again"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""that'd be great to see you again"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""I'd be happy to see you again"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""I'll miss you"","	smalltalk.user.wants_to_see_agent_again	Editorial
"""can I see you again"""	smalltalk.user.wants_to_see_agent_again	Editorial
"""I just want to talk"","	smalltalk.user.wants_to_talk	Editorial
"""let's discuss something"","	smalltalk.user.wants_to_talk	Editorial
"""let's have a discussion"","	smalltalk.user.wants_to_talk	Editorial
"""can I speak"","	smalltalk.user.wants_to_talk	Editorial
"""can I start speaking"","	smalltalk.user.wants_to_talk	Editorial
"""can we talk"","	smalltalk.user.wants_to_talk	Editorial
"""let's talk"","	smalltalk.user.wants_to_talk	Editorial
"""I want to talk to you"","	smalltalk.user.wants_to_talk	Editorial
"""I need to talk to you"","	smalltalk.user.wants_to_talk	Editorial
"""I want to speak with you"","	smalltalk.user.wants_to_talk	Editorial
"""can we chat"""	smalltalk.user.wants_to_talk	Editorial
"""I'll get back to you in a moment"","	smalltalk.user.will_be_back	Editorial
"""be back in 5 minutes"","	smalltalk.user.will_be_back	Editorial
"""I'll be back"","	smalltalk.user.will_be_back	Editorial
"""I promise to come back"","	smalltalk.user.will_be_back	Editorial
"""I'll be back in a few minutes"""	smalltalk.user.will_be_back	Editorial
